2025-12-11 08:56:34 | START | model=gpt-5-mini | prompt=hcd_barrier_extraction v1.2.1 | files=71
2025-12-11 08:56:34 | [1/71] | START | Addamiano_2024_increasing-access-fertility-preservation.txt
2025-12-11 08:56:34 | [1/71] | CALL  | sending to gpt-5-mini
2025-12-11 08:57:09 | [1/71] | RECV  | 1655 chars in 34.79s
2025-12-11 08:57:09 | [1/71] | SAVE  | Addamiano_2024_increasing-access-fertility-preservation.json
2025-12-11 08:57:09 | [2/71] | START | Amirabdollahian_2014_development-deployment-hand-wrist-exoske.txt
2025-12-11 08:57:09 | [2/71] | CALL  | sending to gpt-5-mini
2025-12-11 08:57:56 | [2/71] | RECV  | 4648 chars in 47.38s
2025-12-11 08:57:56 | [2/71] | SAVE  | Amirabdollahian_2014_development-deployment-hand-wrist-exoske.json
2025-12-11 08:57:56 | [3/71] | START | Amos-Lawson_2017_portable-fire-extinguisher.txt
2025-12-11 08:57:56 | [3/71] | CALL  | sending to gpt-5-mini
2025-12-11 08:58:24 | [3/71] | RECV  | 3099 chars in 27.85s
2025-12-11 08:58:24 | [3/71] | SAVE  | Amos-Lawson_2017_portable-fire-extinguisher.json
2025-12-11 08:58:24 | [4/71] | START | Andersson_2021_human-adapt-supply-chains-digital-soluti.txt
2025-12-11 08:58:24 | [4/71] | CALL  | sending to gpt-5-mini
2025-12-11 08:59:11 | [4/71] | RECV  | 4202 chars in 47.24s
2025-12-11 08:59:11 | [4/71] | SAVE  | Andersson_2021_human-adapt-supply-chains-digital-soluti.json
2025-12-11 08:59:11 | [5/71] | START | Ankolekar_2019_development-validation-patient-decision.txt
2025-12-11 08:59:11 | [5/71] | CALL  | sending to gpt-5-mini
2025-12-11 08:59:47 | [5/71] | RECV  | 3748 chars in 35.32s
2025-12-11 08:59:47 | [5/71] | SAVE  | Ankolekar_2019_development-validation-patient-decision.json
2025-12-11 08:59:47 | [6/71] | START | Anraad_2024_promoting-informed-decision-making-about.txt
2025-12-11 08:59:47 | [6/71] | CALL  | sending to gpt-5-mini
2025-12-11 09:00:24 | [6/71] | RECV  | 3966 chars in 37.33s
2025-12-11 09:00:24 | [6/71] | SAVE  | Anraad_2024_promoting-informed-decision-making-about.json
2025-12-11 09:00:24 | [7/71] | START | Ansari-Martin_2024_integrating-human-public-health-data-das.txt
2025-12-11 09:00:24 | [7/71] | CALL  | sending to gpt-5-mini
2025-12-11 09:01:16 | [7/71] | RECV  | 5166 chars in 51.52s
2025-12-11 09:01:16 | [7/71] | SAVE  | Ansari-Martin_2024_integrating-human-public-health-data-das.json
2025-12-11 09:01:16 | [8/71] | START | Arigo_2022_development-initial-testing-personalized.txt
2025-12-11 09:01:16 | [8/71] | CALL  | sending to gpt-5-mini
2025-12-11 09:02:02 | [8/71] | RECV  | 6054 chars in 46.12s
2025-12-11 09:02:02 | [8/71] | SAVE  | Arigo_2022_development-initial-testing-personalized.json
2025-12-11 09:02:02 | [9/71] | START | Arrivillaga_2020_innovative-prototypes-cervical-cancer-pr.txt
2025-12-11 09:02:02 | [9/71] | CALL  | sending to gpt-5-mini
2025-12-11 09:03:00 | [9/71] | RECV  | 4960 chars in 58.01s
2025-12-11 09:03:00 | [9/71] | SAVE  | Arrivillaga_2020_innovative-prototypes-cervical-cancer-pr.json
2025-12-11 09:03:00 | [10/71] | START | Asadipour_2020_technology-aided-multi-modal-training-ap.txt
2025-12-11 09:03:00 | [10/71] | CALL  | sending to gpt-5-mini
2025-12-11 09:03:54 | [10/71] | RECV  | 6820 chars in 54.36s
2025-12-11 09:03:54 | [10/71] | SAVE  | Asadipour_2020_technology-aided-multi-modal-training-ap.json
2025-12-11 09:03:54 | [11/71] | START | Azad_2024_developing-multimedia-patient-reported-o.txt
2025-12-11 09:03:54 | [11/71] | CALL  | sending to gpt-5-mini
2025-12-11 09:04:43 | [11/71] | RECV  | 3253 chars in 48.38s
2025-12-11 09:04:43 | [11/71] | SAVE  | Azad_2024_developing-multimedia-patient-reported-o.json
2025-12-11 09:04:43 | [12/71] | START | Baca_2007_ezhpc-adopting-program-wide-approach-ezh.txt
2025-12-11 09:04:43 | [12/71] | CALL  | sending to gpt-5-mini
2025-12-11 09:05:14 | [12/71] | RECV  | 1680 chars in 31.12s
2025-12-11 09:05:14 | [12/71] | SAVE  | Baca_2007_ezhpc-adopting-program-wide-approach-ezh.json
2025-12-11 09:05:14 | [13/71] | START | Bairagi-Mahajani_2021_redesigning-walker-elderly.txt
2025-12-11 09:05:14 | [13/71] | CALL  | sending to gpt-5-mini
2025-12-11 09:05:24 | [13/71] | RECV  | 82 chars in 10.06s
2025-12-11 09:05:24 | [13/71] | SAVE  | Bairagi-Mahajani_2021_redesigning-walker-elderly.json
2025-12-11 09:05:24 | [14/71] | START | Ballester_2021_mobile-electronic-health-record-connecte.txt
2025-12-11 09:05:24 | [14/71] | CALL  | sending to gpt-5-mini
2025-12-11 09:06:21 | [14/71] | RECV  | 5486 chars in 56.35s
2025-12-11 09:06:21 | [14/71] | SAVE  | Ballester_2021_mobile-electronic-health-record-connecte.json
2025-12-11 09:06:21 | [15/71] | START | Bangash_2020_implementation-science-framework-develop.txt
2025-12-11 09:06:21 | [15/71] | CALL  | sending to gpt-5-mini
2025-12-11 09:06:47 | [15/71] | RECV  | 1636 chars in 26.42s
2025-12-11 09:06:47 | [15/71] | SAVE  | Bangash_2020_implementation-science-framework-develop.json
2025-12-11 09:06:47 | [16/71] | START | Bangash_2022_web-tool-fh-family-share-increase-uptake.txt
2025-12-11 09:06:47 | [16/71] | CALL  | sending to gpt-5-mini
2025-12-11 09:07:25 | [16/71] | RECV  | 2741 chars in 38.37s
2025-12-11 09:07:25 | [16/71] | SAVE  | Bangash_2022_web-tool-fh-family-share-increase-uptake.json
2025-12-11 09:07:25 | [17/71] | START | Bangerter_2022_hybrid-method-healthcare-delivery-resear.txt
2025-12-11 09:07:25 | [17/71] | CALL  | sending to gpt-5-mini
2025-12-11 09:08:07 | [17/71] | RECV  | 3303 chars in 41.59s
2025-12-11 09:08:07 | [17/71] | SAVE  | Bangerter_2022_hybrid-method-healthcare-delivery-resear.json
2025-12-11 09:08:07 | [18/71] | START | Barr_2021_audio-personal-health-library-clinic-vis.txt
2025-12-11 09:08:07 | [18/71] | CALL  | sending to gpt-5-mini
2025-12-11 09:09:04 | [18/71] | RECV  | 5043 chars in 57.16s
2025-12-11 09:09:04 | [18/71] | SAVE  | Barr_2021_audio-personal-health-library-clinic-vis.json
2025-12-11 09:09:04 | [19/71] | START | Barwick_2023_implementation-playbook-study-protocol-d.txt
2025-12-11 09:09:04 | [19/71] | CALL  | sending to gpt-5-mini
2025-12-11 09:09:52 | [19/71] | RECV  | 2069 chars in 47.26s
