authors,confidence,decision,evidence,exclusion_reason,file_name,reasoning,title
Elizabeth Abu-Haydar; David Katuntu; James Bauer; Alec Wollen; Mike Eisenstein; Jill Sherman-Konkle; Anthony Roche; Michael Ruffo,Medium,Exclude,"{""HCD_fullcycle"": [""A1 User Involvement: \""Participants were invited to handle the device and comment, following the group discussions and the interviews.\"" - Study Tools / Methods"", ""A1 User Involvement: \""Input collected from fifty-nine newborn and maternal care providers and from seven national level decision makers in Uganda was used to guide product development, further informing product design requirements, and optimal design features to best serve their needs.\"" - Abstract / Purpose"", ""A2 Iteration: \""an iterative, user-centered approach from concept development through this user evaluation phase informed our understanding of those primarily responsible for administering infusions in health facilities\"" - Study Objectives and Design"", ""A2 Iteration: \""The user input collected in Uganda was part of a continuous iterative design approach that led to the current prototype.\"" - Discussion"", ""A3 Lifecycle (Understanding/Ideation/Prototyping/Evaluation): \""A formative evaluation following a mixed methods approach including focus group discussions (FGDs), stakeholder interviews, and observations was used to collect data from end users.\"" - Methods (Understanding)"", ""A3 Lifecycle (Ideation): \""A landscape of competitive products was conducted in our early product development phase.\"" - Background / Methods (Ideation/Concept development)"", ""A3 Lifecycle (Prototyping): \""For the assessment in Uganda, PATH brought a working RELI prototype to demonstrate functionality and collect user feedback on the device.\"" - Study Tools / Methods (Prototyping)"", ""A3 Lifecycle (Evaluation): \""The FGDs were conducted by a trained facilitator and lasted between 60 and 70 minutes. The interviews took between 60 and 90 minutes each.\"" and \""Participants were invited to handle and use the device.\"" - Study Tools / Methods (Evaluation)""], ""TASKS_elements"": []}",No evidence reported of designer-experienced task constraints or barriers during the project (Condition B not satisfied).,Abu-Haydar et al. - 2021 - User Centered Design Developing the RELI Delivery System a Low Cost Non Electric Pneumatic Infusion.txt,"Condition A: satisfied - The paper reports active user involvement (FGDs, interviews, hands-on device handling), describes an iterative user-centered approach, and includes evidence of understanding users, ideation/early product development, a working prototype, and evaluation activities.; Condition B: not satisfied - The manuscript does not report constraints or difficulties experienced by the design team (no descriptions of resource limits, participant access problems affecting design activities, cognitive/skill gaps of designers, or process/technical barriers during the project).; Final rationale: Although the study documents a user-centered development process with prototype testing and iterative intent (Condition A met), it provides no explicit evidence of designer-facing task constraints or barriers encountered during the project (Condition B not met), so the paper is excluded.","User-Centered Design: Developing the RELI Delivery System – a Low-Cost, Non-Electric, Pneumatic Infusion Pump"
Francisco Aguilar Acevedo; Daniel Pacheco Bautista; Marleydy Acevedo Gómez; Guadalupe Toledo Toledo; Omar S. Nieva García,High,Exclude,"{""HCD_fullcycle"": [""A1 User Involvement: \""In planning the UCD process following the ISO 9241-210 standard, the interview was selected as the inquiry method, and high-fidelity prototyping as the design method. For the first and second iterations, meetings with specialists in physical medicine and rehabilitation were planned, while for the third iteration, tests were carried out with users without and with a poststroke diagnosis.\"" [Methods]"", ""A2 Iteration: \""the development of virtual environment was supported by the criteria of a team of specialists in physical and occupational therapy, following the philosophy of user-centered design through three iterations\"" [Introduction/Methods]"", ""A3 Lifecycle (Understanding/Ideation/Prototyping/Evaluation): \""Understand and Specify the Context of Use. ... a field study was carried out through observation to identify the activities concerning the evaluation of the patient’s mobility... Specify User Requirements. An interview was applied to the specialists to identify the requirements... Produce Design Solutions. ... For the implementation of the virtual environment, the Unity 3D technology was selected... Design evaluation: It was carried out with the help of the team of specialists... In the third iteration, tests were carried out with secondary users... A first group of 14 engineering students ... provided their level of satisfaction through the SUS test... tests were performed by a patient with a diagnosis of stroke ... flow state questionnaire.\"" [Methods/Results]""], ""TASKS_elements"": []}",Condition B not satisfied: No evidence of designer-experienced constraints or difficulties affecting the design process.,Acevedo et al. - 2022 - User Centered Virtual Environment for Poststroke Motor Rehabilitation.txt,"Condition A: satisfied - The study documents active involvement of therapists and patients in requirements and testing, explicitly reports three iterations, and shows understanding (field observation, interviews), ideation (selection of ADLs and scene/task design), prototyping (high-fidelity Unity prototypes), and evaluation (specialist reviews, SUS with healthy users, patient testing and flow questionnaire).; Condition B: not satisfied - The Methods, Results, Discussion, and Conclusion contain no explicit evidence describing difficulties or constraints experienced by the designers (e.g., resource limits, recruitment/access problems that limited design, technical/process barriers that forced adaptation) that affected their ability to carry out design activities.; Final rationale: Although the paper meets the full HCD cycle (Condition A), it lacks any documented designer-oriented task constraints or barriers (Condition B), so it must be excluded under the review criteria.",User-Centered Virtual Environment for Poststroke Motor Rehabilitation
"Maria Claudia Addamiano, Camille Joannes, Leslie Fonquerne, Charlotte Morel, Delphine Lauzeille, Lorène Belkadi, Fabienne Empereur, Pascale Grosclaude, Eric Bauvin, Cyrille Delpierre, Sébastien Lamy, Marie-Anne Durand",Medium,Include,"{""HCD_fullcycle"": [""A1 User Involvement: \""These brochures will be adapted and improved to account for limited health literacy (HL) [27] using a participatory approach with focus groups and semi-structured interviews. ... Participants will be recruited through the RCNs. The focus groups will include patient partners, who have followed a specific training course in participatory research, and/or patients who have been affected by cancer in the past, and healthcare professionals involved in the fertility preservation process\"" - Methods: Intervention / Qualitative data"", ""A2 Iteration: \""We will then use the transcribed data from the focus-groups and interview to update the brochures and develop awareness-raising training. The acceptability, usability and accessibility of these updated tools will then be tested in a second round of semi-structured interviews with other patient partners and healthcare professionals.\"" - Methods: Intervention / Qualitative data"", ""A3 Lifecycle (Understanding/Ideation/Prototyping/Evaluation): \""[Understanding users] These brochures will be adapted and improved ... using a participatory approach with focus groups and semi-structured interviews... [Ideation] Healthcare professionals will also suggest content and format for the health professionals' awareness-raising training. [Prototyping] We will then use the transcribed data from the focus-groups and interview to update the brochures and develop awareness-raising training. [Evaluation] The acceptability, usability and accessibility of these updated tools will then be tested in a second round of semi-structured interviews ... and we will compare the percentage of patients who have access to a fertility preservation consultation before and after the distribution of updated brochures and the awareness training of health professionals.\"" - Methods: Intervention / Qualitative data / Trial design""], ""TASKS_elements"": [""\""The number of cancers centers varies by region, requiring specific regional coordination for data collection.\"" - Methods: Data collection/Setting - This describes a logistical/process constraint that requires additional coordination by the study team and affects their ability to collect data across regions (a designer/implementer-facing barrier)."", ""\""The effectiveness of the brochures created so far has not been tested, and there is no hindsight or feedback from patients or healthcare professionals regarding their acceptability, usability and usefulness.\"" - Methods: Intervention - This identifies a lack of prior testing/feedback on existing materials, a knowledge/resource gap that the designers must address when developing and validating new materials (a constraint on design activities).""]}",,Addamiano et al. - 2024 - Increasing access to fertility preservation for women with breast cancer protocol for a stepped wedg.txt,"Condition A: satisfied - The protocol documents active user involvement (focus groups, patient partners, semi-structured interviews), explicit iterative cycles (initial review, updates, second-round testing), and evidence of all four lifecycle phases (understanding via interviews/focus groups, ideation via stakeholder suggestions and workshops, prototyping via updated brochures and training materials, and evaluation via acceptability testing and the stepped-wedge trial measuring uptake).; Condition B: satisfied - The protocol describes implementer/designer-facing constraints including regional variation of cancer centers requiring specific coordination for data collection and the absence of prior testing/feedback on existing brochures, both of which impact the designers' ability to perform design and implementation activities.; Final rationale: The study is a user-centred, iterative design and evaluation protocol that meets the full HCD cycle and reports concrete designer-facing logistical and evidence gaps that constrain the design process; therefore it meets both Condition A and Condition B and is included.",Increasing access to fertility preservation for women with breast cancer: protocol for a stepped-wedge cluster randomized trial in France
"R R Adisurya, H B Santoso, S Fadhilah, O Lawanto",High,Exclude,"{""HCD_fullcycle"": [""A1 User Involvement: \""In this study, there were two interviews. In the first interview, participants were interviewed to gather requirements and then after that in the second interview, they tested the prototype for usability evaluation.\"" - Methods (3.2 Data Collection Procedures)"", ""A2 Iteration: \""After the design process was finished, the participants were asked to use the information visualization tools prototype in the form of a clickable mockup for usability evaluation.\"" and \""A pilot study was conducted to determine the average estimated time...\"" (no further cycles or redesigns reported) - Findings (4.2 Usability Evaluation) / Methods"", ""A3 Lifecycle (Understanding/Ideation/Prototyping/Evaluation): \""The result of the first interview was used for analysis and designing the information visualization tools. The analysis consists of creating personas, a user journey map, and an information architecture to help the designing process. Those analyses were then used to design the information visualization.\"" (Ideation); \""The prototype was developed according to the result of the first interview’s analysis...\"" (Prototyping); \""the usability evaluation was conducted with the second interview... After the usability evaluation was conducted to the 10 participants, the result is as presented in table 1.\"" (Evaluation); \""In the first interview, participants were interviewed to gather requirements... It consisted of 20 questions...\"" (Understanding) - Methods (3.2, 3.3) and Findings (4.1, 4.2)""], ""TASKS_elements"": []}",Condition A not satisfied (no explicit multiple iterations/refinement cycles) and Condition B not satisfied (no documented designer-facing difficulties or constraints).,Adisurya R.R. et al. - 2020 - Information visualization of metacognitive skills during the software development process based on a.txt,"Condition A: not satisfied - While users were actively involved (A1 true) and all lifecycle phases are reported (A3 true), the paper documents a single design-prototype-evaluate cycle without explicit repeated refinement iterations, so A2 (Iteration) is not satisfied.; Condition B: not satisfied - The manuscript reports user difficulties (e.g., users unfamiliar with radar charts, missed navigation buttons) but provides no evidence of difficulties or constraints experienced by the designers (no resource limits, recruitment or access issues, designer cognitive/skill strain, or process/technical barriers reported).; Final rationale: Because the full HCD cycle requirement fails due to lack of explicit multiple iterations and there is no evidence of designer-experienced task/constraint elements, the study does not meet the review inclusion criteria.",Information visualization of metacognitive skills during the software development process based on an adapted engineering design metacognitive questionnaire
"F. Amirabdollahian, S. Ates, A. Basteris, A. Cesario, J. Buurke, H. Hermens, D. Hofs, E. Johansson, G. Mountain, N. Nasr, S. Nijenhuis, G. Prange, N. Rahman, P. Sale, F. Schätzlein, B. van Schooten, A. Stienen",High,Include,"{""HCD_fullcycle"": [""A1 User Involvement: \""We employed an interdisciplinary research design to co-design and evaluate the SCRIPT system with people with stroke, carers and stroke professionals in three clinical sites ... In phase 1, we engaged with potential users of the SCRIPT system to create a clear picture of the target users and the context ... A mix of health and social sciences and design methods were used to collect data in this phase including focus groups, in-depth interviews and cultural probes.\"" - Section 2 Design Methodology"", ""A2 Iteration: \""The identiﬁed problems were summarised and fed back into the process of design to improve the next iteration of the system. The resulting prototypes are tested, redesigned and developed in iterative cycles.\"" - Section 2 Design Methodology"", ""A3 Lifecycle (Understanding/Ideation/Prototyping/Evaluation): \""The findings of the focus groups ... were further explored and reﬁned by conducting in-depth interviews and cultural probing ... The findings of this phase were summed up to create a collection of persona-based scenarios ... These user models served to identify user requirements and informed design of the iterative prototyping.\"" (understanding + ideation) AND \""SCRIPT Prototype 1 (SP1) is a wrist, hand and ﬁnger orthosis ...\"" (prototyping) AND \""Patients were involved in a feasibility study (n=23) ... At the time of this study, only 12 of these patients have ﬁnished their 6 weeks trial plus 2 months follow up evaluation.\"" (evaluation) - Sections 2, 3.1 and 4/4.2""], ""TASKS_elements"": [""\""These limitation are caused not by the mechanism itself, but by the type of bending sensor used: the ﬂexible resistance-based sensors suffer from natural decay in step response that makes it hard to get accurate absolute values from the sensors.\"" - Section 3.1 Mechatronic device - This is a technical measurement limitation encountered by the design team that constrained sensor accuracy and required compensatory design/algorithmic choices (a designer-facing barrier)."", ""\""However, the passive device does not allow any automatic regulation of the physical support provided, which is set by the therapist.\"" - Section 3.6 Adaptive and therapeutic human-robot interaction - This hardware design constraint prevented implementing automatic assist-as-needed functionality, limiting the designers' ability to realise an intended adaptive interaction (designer-experienced constraint)."", ""\""Among the ﬁrst 12 patients were two dropouts, because of their inability to work with the SCRIPT system due to technical problems, or no desire to work with the SCRIPT system anymore.\"" - Section 4.2 Results - Participant dropouts due to technical problems reduced usable evaluation data and indicate deployment/technical issues that affected the team's evaluation and iteration process (participant access issue affecting designers' data)."", ""\""One of the major challenges in performing gesture recognition with stroke survivors is the inter-individual variability in motor symptoms ... we developed a calibration procedure which measures range of motion and duration of movements. In a preliminary analysis ... this procedure was effective in 85% of the attempts ...\"" - Section 3.6 Adaptive and therapeutic human-robot interaction - The inter-individual variability forced the team to develop calibration procedures and cope with partial success rates, a clear design challenge affecting implementation and evaluation.""]}",,Amirabdollahian et al. - 2014 - Design development and deployment of a hand wrist exoskeleton for home based rehabilitation after st.txt,"Condition A: satisfied - The paper documents active user involvement (focus groups, in-depth interviews, cultural probes), explicit iterative redesign cycles, and evidence of all lifecycle phases (user understanding, persona-informed ideation, hardware/software prototyping, and formative/summative evaluation including home deployment and usability metrics).; Condition B: satisfied - Multiple designer-facing constraints are reported: sensor hardware limitations affecting measurement accuracy, the passive-device design preventing automatic assist-as-needed behavior, participant dropouts due to technical issues that reduced evaluation data, and the need to implement calibration procedures to handle inter-individual variability.; Final rationale: Both the full HCD cycle (A) and designer-experienced task/constraint evidence (B) are present in the Methods/Results/Discussion. Therefore the study meets inclusion criteria.","Design, development and deployment of a hand/wrist exoskeleton for home-based rehabilitation after stroke - SCRIPT project"
Mary Amos & Glyn Lawson,High,Include,"{""HCD_fullcycle"": [""A1 User Involvement: As a direct consequence of the literature review, we organized a focus group to explore the needs of elderly users in operating a domestic fire safety device. - Design Process / Literature review / Focus group"", ""A2 Iteration: We produced sketches and ideas in parallel with the research activities, and the findings from the research informed a wide range of possible design solutions. After conducting an internal evaluation of these concepts with peers, tutors, and senior researchers, we arranged a second visit to discuss these ideas with the fire safety officer. This feedback was used to decide which concepts to develop further. After the focus group, we made further developments to the form and activation method to ensure ease of use. - Design Process / Initial concepts / Focus group"", ""A3 Lifecycle (Understanding/Ideation/Prototyping/Evaluation): The methods encompass the following: Literature review; Product evaluation; Shadowing study; Fire awareness training; Interview with an expert; Focus group; Simulation/empathy gloves. (Understanding). We produced sketches and ideas... initial concepts. (Ideation). Participants were given the opportunity to hold and interact with sketch models and blank foam models. (Prototyping). The designer conducted a product evaluation (extinguished a small controlled fire), focus group feedback was used to inform development, and simulation gloves were used to confirm trigger comfort. (Evaluation). - Design Process / multiple sections""], ""TASKS_elements"": [""The ethical tenet of safety of research participants had to be at the forefront of the chosen methodology. Therefore, the adopted research methods listed next emphasize theoretical research, advice from professionals, and controlled environments during practical research. - Design Process - This indicates an ethical constraint that limited the designers' ability to perform direct testing with users in real emergency contexts, forcing selection of alternative, controlled methods."", ""further research is needed to provide an empirical behavioral profile of the redesigned product using functioning prototypes to demonstrate its feasibility and user acceptance... ethics surrounding fire and fire studies make it difficult to do direct testing and research activities. - Conclusion / Future Developments - This limitation affected the designers' ability to create and test a functioning prototype with end users, leaving the project at concept stage and preventing planned usability and behavioral testing.""]}",,Amos M. and Lawson G. - 2017 - User Centered Design of a Portable Fire Extinguisher.txt,"Condition A: satisfied - The study demonstrates active user involvement (focus group, simulation gloves), explicit iteration cycles (concept sketches, internal evaluations, expert feedback, redesign after focus group), and evidence of all lifecycle phases (understanding via literature/shadowing/interviews, ideation via sketches, prototyping via foam/sketch models, evaluation via product evaluation, focus group, and simulation tests).; Condition B: satisfied - The paper reports ethical constraints that limited direct testing in real fire scenarios and prevented full prototype testing with users, which forced the designers to adopt controlled and limited methods and left the work at concept stage.; Final rationale: The paper reports a full HCD cycle with active user involvement and iterative refinement and also documents designer-facing constraints (ethical limits on direct testing) that impacted design activities; therefore it meets both Condition A and Condition B and should be included.",User-Centered Design of a Portable Fire Extinguisher
"Sarah R. Andersson, Sarah Hassanen, Amos M. Momanyi, Danielson K. Onyango, Daniel K. Gatwechi, Mercy N. Lutukai, Karen O. Aura, Alex M. Mungai, Yasmin K. Chandanic",High,Include,"{""HCD_fullcycle"": [""A1 User Involvement: \""A combination of methods was used, including one-on-one semistructured interviews; observation and shadowing of supply chain actors, end-users, and county beneficiaries; and usability testing using the original cStock application from Siaya County.\"" [Methods]"", ""A2 Iteration: \""Usability testing was then conducted using the high-fidelity prototypes of the 4 new and redesigned tools... The testing was conducted in Samburu East...\"" and \""The iterative usability testing for the 4 prototype tools facilitated continuous learning and adjustment of the design.\"" [Methods / Results]"", ""A3 Lifecycle (Understanding/Ideation/Prototyping/Evaluation): \""We conducted the HCD process in 4 phases: (1) understanding intent, (2) research and insights, (3) ideation and prototyping, and (4) supply chain design and requirements building.\"" [Methods]""], ""TASKS_elements"": [""\""It should be noted this project did not include funds for procurement of devices so only existing devices could be used.\"" [Results - Connectivity Insights] - This shows a resource constraint that directly affected design decisions (forced use of participants' existing devices rather than procuring devices)."", ""\""Network connectivity was poor, and electricity to charge phones was sporadic. Many CHVs would travel to the nearest urban centers and facilities to charge their phones.\"" [Results - Connectivity Insights] - This demonstrates a technical/resource barrier that prevented real-time data entry and influenced the decision to include paper-based tools and offline-capable solutions."", ""\""HCD and systems analysis can take a greater time investment up front (in this case it took 7 months)... The approach requires significant time before implementation to conduct the research (2 to 3 months)... and develop and repeatedly test the design and high-fidelity prototypes of the solutions (2 to 3 months).\"" [Limitations] - This indicates time/resource burdens experienced by the design team that impacted the design process.""]}",,Andersson et al. - 2021 - Using Human Centered Design to Adapt Supply Chains and Digital Solutions for Community Health Volunt.txt,"Condition A: satisfied - The paper documents active user involvement (interviews, shadowing, co-design personas), explicit iterative cycles with multiple rounds of usability testing and prototype refinement, and a 4-phase HCD process covering understanding, ideation, prototyping, and evaluation.; Condition B: satisfied - The text reports concrete designer-facing constraints including lack of funds to procure devices, poor network/electricity access that limited real-time digital use, and substantial time/resource demands that shaped design choices.; Final rationale: The study reports a full HCD cycle with iterative co-design and usability evaluation and also describes multiple designer-experienced constraints that affected design decisions, meeting both Condition A and Condition B; therefore the paper is included.",Using Human-Centered Design to Adapt Supply Chains and Digital Solutions for Community Health Volunteers in Nomadic Communities of Northern Kenya
"Anshu Ankolekar, Ben G. L. Vanneste, Esther Bloemen-van Gurp, Joep G. van Roermund, Evert J. van Limbergen, Kees van de Beek, Tom Marcelissen, Victor Zambon, Matthias Oelke, Andre Dekker, Cheryl Roumen, Philippe Lambin, Adriana Berlanga, Rianne Fijten",High,Include,"{""HCD_fullcycle"": [""A1 User Involvement: \""we followed a user-centered design process consisting of five rounds of semi-structured interviews and usability surveys with topics such as informational/decisional needs of users and requirements for PDAs.\"" - Methods"", ""A2 Iteration: \""Based on the feedback from the user groups, we developed, tested and revised prototypes of the PDA over successive rounds.\"" and \""The development process spanned five rounds over a period of two years and involved both former PCa patients and health-care professionals.\"" - Methods / Conclusions"", ""A3 Lifecycle (Understanding/Ideation/Prototyping/Evaluation): \""Semi-structured interviews were performed to assess the type and amount of information needed for decision-making.\"" (Understanding) ; \""The clinicians then evaluated the initial draft (Fig. 3) which was based on a literature review and clinical experience.\"" (Ideation) ; \""Based on this feedback, the first prototype was developed...\"" (Prototyping) ; \""Usability survey... The System Usability Scale (SUS) questionnaire was used to determine the usability of the PDA\"" and \""Heuristic evaluation...\"" (Evaluation) - Methods / Results""], ""TASKS_elements"": [""\""One of the drawbacks is that involving a wide group of stakeholders in an iterative process can make the development process long, complicated and costly. Our development process spanned over two years and involved 58 participants, resulting in > 100 h of interview material and feedback that needed to be processed, analyzed and incorporated in successive rounds.\"" - Discussion - [Shows a designer barrier: resource and time burden that affected the team's ability to carry out and integrate iterative design activities]"", ""\""Involving many different users provides a variety of perspectives, but can pose a larger challenge to integrate these diverse views and find a consensus, particularly in the area of usability testing... Incorporating these varying perspectives and preferences may not be feasible...\"" - Discussion - [Shows a designer barrier: difficulty integrating diverse stakeholder perspectives which constrained design decisions and process]""]}",,Ankolekar et al. - 2019 - Development and validation of a patient decision aid for prostate Cancer therapy from paternalistic.txt,"Condition A: satisfied - The Methods and Results document explicit user involvement (multiple stakeholder groups co-designing and providing iterative feedback), clear iteration across five rounds with successive prototypes, and evidence for all lifecycle phases: needs assessment interviews (understanding), creation of initial draft/literature-based concepts (ideation), multiple prototypes (prototyping), and usability/heuristic testing and SUS/think-aloud sessions (evaluation).; Condition B: satisfied - The Discussion explicitly reports developer-experienced constraints: long duration, high resource/time burden, and difficulties integrating diverse stakeholder perspectives that affected the team's ability to execute and incorporate iterative design work.; Final rationale: The paper reports a full user-centered HCD cycle (user involvement, explicit iterative refinement, and evidence of understanding/ideation/prototyping/evaluation) and documents designer-facing constraints (resource/time and integration difficulties). Therefore it meets both Condition A and Condition B and should be included.",Development and validation of a patient decision aid for prostate Cancer therapy: from paternalistic towards participative shared decision making
"Charlotte Anraad, Pepijn van Empelen, Robert A. C. Ruiter, Marlies Rijnders, Katja van Groessen, Hilde M. van Keulen",High,Include,"{""HCD_fullcycle"": [""A1 User Involvement: \""We conducted four focus-group interviews involving a total of 19 pregnant women... The 1.5-h focus-groups were semi-structured and focused on factors associated with the decision to accept or refuse MPV, how pregnant individuals perceive the decision-making process, and their evaluation of sample information about MPV. The focus-groups were transcribed and analyzed using thematic coding.\"" - [Methods: IM step 1 — needs assessment]"", ""A2 Iteration: \""We created an online tailored decision aid, subjecting it to four iterations of testing among pregnant women, including those with low literacy levels... In the second iteration, five pregnant women individually used an interactive prototype of the intervention during think-aloud sessions... The third iteration featured a full, interactive version... The fourth iteration was a usability test with four low-literate users in individual think-aloud sessions.\"" - [Results: IM step 4 — Pre-testing intervention prototypes]"", ""A3 Lifecycle (Understanding/Ideation/Prototyping/Evaluation): \""Step 1 entails constructing a logic model of the problem. To accomplish this, we reviewed literature, conducted a survey study [n=611] and a focus-group study.\"" (understanding) \""Step 3 concerns the design of the intervention program... selection of theory-based intervention methods and their applications.\"" (ideation) \""The online decision aid was created mobile-first... The online decision aid consisted of three main components...\"" (prototyping) \""We planned to test the interventions in a semi-randomized controlled trial... we used a randomized controlled design for the evaluation of the online decision aid... When it became possible to resume CP group-care, we conducted a small-scale study to evaluate the feasibility and acceptability of the CP intervention.\"" (evaluation) - [Methods: IM steps 1,3; Results: IM step 4 and IM step 6]""], ""TASKS_elements"": [""\""However, due to the COVID-19 pandemic and the associated social-distancing measured in place at the time of the data collection, CP group-care could not safely take place and could therefore not be included in the large-scale trial. We then used a randomized controlled design for the evaluation of the online decision aid.\"" - [Results: IM step 6 — evaluation plan] - [This shows a designer/implementation barrier: COVID restrictions prevented planned CP group-care and forced adaptation of the planned evaluation/design (could not include CP in large-scale trial)]."", ""\""participating midwifery clinics could not be randomly assigned to the CP or control condition, as CP care is only offered in a limited number of clinics.\"" - [Results: IM step 6 — evaluation plan] - [This shows a resource/implementation constraint experienced by designers: limited availability of CP sites prevented full random assignment and required a semi-randomized design]."", ""\""The small sample sizes in this study do not serve to evaluate the effectiveness of the intervention.\"" - [Limitations] - [This shows a limitation affecting designers' ability to evaluate effectiveness during development (reduced ability to perform planned evaluation activities during development phase)].""]}",,Anraad et al. - 2024 - Promoting informed decision making about maternal pertussis vaccination the systematic development o.txt,"Condition A: satisfied - The study documents active user involvement (focus groups, think-aloud sessions including low-literate users), explicit multiple iterations (four rounds of prototyping and refinement), and all four lifecycle phases (needs assessment/understanding, ideation/design, prototyping, and planned/initial evaluation).; Condition B: satisfied - The paper reports designer-facing constraints including COVID-19 preventing CP group-care (forcing adaptation of evaluation), limited availability of CP clinics preventing full randomization, and small sample sizes during development limiting evaluation capacity.; Final rationale: Both the full HCD cycle (A1, A2, A3) and at least one designer-experienced task/constraint are explicitly reported in Methods/Results/Limitations; therefore the study meets inclusion criteria.",Promoting informed decision making about maternal pertussis vaccination: the systematic development of an online tailored decision aid and a centering-based group antenatal care intervention
"Bahareh Ansari, Erika G. Martin",High,Include,"{""HCD_fullcycle"": [""A1 User Involvement: \""Three preliminary meetings with the data owners (AIDS Institute Office of Sexual Health and Epidemiology) and an in-person site visit were used to establish relationships, secure buy-in, and discuss topics such as data dashboard goals, the intended audience, available resources, data limitations, software requirements, and other relevant organizational contexts.\"" - Methods, Step 1"", ""A1 User Involvement: \""Participants from Step 3 were recruited for a Zoom-based usability evaluation of the prototype, in which participants were asked to freely explore each page, use interactive features, and narrate what they saw.\"" - Methods, Step 4"", ""A2 Iteration: \""All findings from the first 3 steps were integrated in the prototype data dashboard’s design.\"" - Methods, Step 4"", ""A2 Iteration: \""The findings of the experiment and the usability evaluation were incorporated in the final prototype data dashboard.\"" - Methods, Step 4 / Results"", ""A3 Lifecycle (Understanding/Ideation/Prototyping/Evaluation): \""Step 1. Stakeholder requirements gathering and establishing the partnership...\"" (understanding users) - Methods, Step 1; \""An expert review of current US states’ STI data dashboards to produce a usability checklist\"" (ideation/design guidance) - Methods, Step 2; \""A prototype dashboard was developed using the NYS STI surveillance data... The data dashboard was created in Tableau using a dashboard layout and interactive charts.\"" (prototyping) - Methods, Step 4; \""A usability evaluation was conducted... and an experiment was embedded in the usability evaluation to test the methods to visualize missing data.\"" (evaluation) - Methods, Step 4""], ""TASKS_elements"": [""\""the final data dashboard would need to be hosted on an external organization’s website due to state government agency 'executive clearance' requirements that each website update be reviewed and approved before release to the public.\"" - Results/Step 1 - This describes an organizational constraint that forced designers to adapt hosting and deployment plans, limiting their implementation options."", ""\""These pragmatic modifications included learning from existing data dashboards instead of starting from scratch and conducting virtual meetings instead of observing user behavior in their workplace.\"" - Discussion - This indicates designers changed standard HCD methods because stakeholder time and availability were limited (resource constraint) and in-person observation was not feasible."", ""\""the data collection of this project was conducted virtually because of the concerns regarding COVID-19 transmission and the difficulties of scheduling time with busy public health experts during the pandemic. Virtual meetings limited the ability to collect additional user data such as body expressions and eye movements.\"" - Discussion / Limitations - Shows that pandemic-related access/time constraints limited designers' ability to perform richer evaluation methods."", ""\""staff being diverted to the COVID-19 response (thereby severely constraining their time) and staff working in confidential spaces due to the sensitive data (thereby making it difficult for a researcher team to gain security clearances to observe workflows directly).\"" - Discussion - Describes reduced staff availability and access/security barriers that constrained observational methods and participant recruitment, forcing adaptation of methods.""]}",,Ansari and Martin - 2024 - Integrating human centered design in public health data dashboards lessons from the development of a.txt,"Condition A: satisfied - The study documents active stakeholder and target-user involvement (Steps 1, 3, 4), explicit iterative integration of findings across multiple steps, and evidence of all four lifecycle phases (stakeholder understanding, design guidance/ideation via checklist and alternatives, prototype development in Tableau, and usability evaluation with an embedded experiment).; Condition B: satisfied - The paper reports multiple designer-facing constraints (organizational hosting/executive clearance requirements, limited staff time due to COVID-19, virtual-only data collection limiting observational methods, and difficulty obtaining security clearances), which materially affected the designers' methods and forced adaptations.; Final rationale: Both Condition A (full HCD cycle with user involvement, iteration, and all lifecycle phases) and Condition B (documented designer-facing tasks/constraints that impacted the project) are met; therefore the paper should be included.",Integrating human-centered design in public health data dashboards: lessons from the development of a data dashboard of sexually transmitted infections in New York State
