filename,decision,destination
Abu-Haydar et al. - 2021 - User Centered Design Developing the RELI Delivery System a Low Cost Non Electric Pneumatic Infusion.txt,exclude,data\fulltext_screening\sorted_based_on_decision\excluded\Abu-Haydar et al. - 2021 - User Centered Design Developing the RELI Delivery System a Low Cost Non Electric Pneumatic Infusion.txt
Acevedo et al. - 2022 - User Centered Virtual Environment for Poststroke Motor Rehabilitation.txt,exclude,data\fulltext_screening\sorted_based_on_decision\excluded\Acevedo et al. - 2022 - User Centered Virtual Environment for Poststroke Motor Rehabilitation.txt
Addamiano et al. - 2024 - Increasing access to fertility preservation for women with breast cancer protocol for a stepped wedg.txt,include,data\fulltext_screening\sorted_based_on_decision\included\Addamiano et al. - 2024 - Increasing access to fertility preservation for women with breast cancer protocol for a stepped wedg.txt
Adisurya R.R. et al. - 2020 - Information visualization of metacognitive skills during the software development process based on a.txt,exclude,data\fulltext_screening\sorted_based_on_decision\excluded\Adisurya R.R. et al. - 2020 - Information visualization of metacognitive skills during the software development process based on a.txt
Amirabdollahian et al. - 2014 - Design development and deployment of a hand wrist exoskeleton for home based rehabilitation after st.txt,include,data\fulltext_screening\sorted_based_on_decision\included\Amirabdollahian et al. - 2014 - Design development and deployment of a hand wrist exoskeleton for home based rehabilitation after st.txt
Amos M. and Lawson G. - 2017 - User Centered Design of a Portable Fire Extinguisher.txt,include,data\fulltext_screening\sorted_based_on_decision\included\Amos M. and Lawson G. - 2017 - User Centered Design of a Portable Fire Extinguisher.txt
Andersson et al. - 2021 - Using Human Centered Design to Adapt Supply Chains and Digital Solutions for Community Health Volunt.txt,include,data\fulltext_screening\sorted_based_on_decision\included\Andersson et al. - 2021 - Using Human Centered Design to Adapt Supply Chains and Digital Solutions for Community Health Volunt.txt
Ankolekar et al. - 2019 - Development and validation of a patient decision aid for prostate Cancer therapy from paternalistic.txt,include,data\fulltext_screening\sorted_based_on_decision\included\Ankolekar et al. - 2019 - Development and validation of a patient decision aid for prostate Cancer therapy from paternalistic.txt
Anraad et al. - 2024 - Promoting informed decision making about maternal pertussis vaccination the systematic development o.txt,include,data\fulltext_screening\sorted_based_on_decision\included\Anraad et al. - 2024 - Promoting informed decision making about maternal pertussis vaccination the systematic development o.txt
Ansari and Martin - 2024 - Integrating human centered design in public health data dashboards lessons from the development of a.txt,include,data\fulltext_screening\sorted_based_on_decision\included\Ansari and Martin - 2024 - Integrating human centered design in public health data dashboards lessons from the development of a.txt
